,Restaurant_Name,Cuisine,Price for 2(approx),Rating,Location,Area,Region
0,Lake District Bar & Kitchen," North Indian, Asian",1500,5,Necklace Road,,Secunderabad
1,Ohris Jiva Imperia," North Indian, Chinese, Rajasthani, South Indian",1200,4,White House,Begumpet,Secunderabad
2,So. The Sky Kitchen," North Indian, Chinese, Asian, Mughlai",1800,4,Aryan's Building,Jubilee Hills,Central West Hyderabad
3,Jalpaan," North Indian, Italian, Chinese, Continental, Desserts, Beverages",1200,4,Oasis Centre,Begumpet,Secunderabad
4,The Waterfront," Chinese, North Indian",1500,4.3,Necklace Road,,Secunderabad
5,By The Bay - Bar Exchange," North Indian, Continental, Chinese",1800,4.1,Khairatabad,,Central Hyderabad
6,Aish," Hyderabadi, Seafood",2400,4.3,The Park,Somajiguda,Central East Hyderabad
7,Roastery Coffee at Sicca Bar," Beverages, Fast Food",1800,4.6,The Park,Somajiguda,Central East Hyderabad
8,Verandah," Chinese, North Indian, Continental, Italian",3300,3.9,The Park,Somajiguda,Central East Hyderabad
9,Signature Grills," North Indian, Chinese, Italian",1500,4.1,Necklace Road,,Secunderabad
10,Kismet, Finger Food,2100,4,The Park,Somajiguda,Central East Hyderabad
11,Pizza Hut," Pizza, Fast Food",800,4.4,The Grand Building,Somajiguda,Central East Hyderabad
12,Seven Spices," Andhra, Biryani",1000,4.2,Somajiguda,,Central East Hyderabad
13,Kritunga Restaurant," Andhra, North Indian, Chinese, Hyderabadi",1000,5,Somajiguda,,Central East Hyderabad
14,Aqua," Finger Food, North Indian, Chinese, Continental",2500,4,The Park,Somajiguda,Central East Hyderabad
15,Parampara - Flavours of india," Chinese, North Indian",1000,3.9,ANR Center,Banjara Hills,Central East Hyderabad
16,Headquarters," North Indian, Italian, Chinese, Continental, Desserts, Beverages",1700,4.1,Somajiguda,,Central East Hyderabad
17,Eagles Pizza," Pizza, Fast Food",600,3.9,Ohud Building,Somajiguda,Central East Hyderabad
18,Kuchipudi," Andhra, North Indian",1000,4,Katriya Hotel,Somajiguda,Central East Hyderabad
19,Hideaway, Chinese,400,5,Begumpet,,Secunderabad
20,Kasuall," Chinese, Continental, North Indian",1300,3.8,Katriya Hotel,Somajiguda,Central East Hyderabad
21,10 Downing Street," Finger Food, Chinese, Continental, North Indian",2000,4.3,Begumpet,,Secunderabad
22,Rocket Fuel Cafe, Fast Food,800,4.1,Somajiguda,,Central East Hyderabad
23,Ice n Spice," North Indian, Continental, South Indian, Chinese",800,4.2,Hotel Inner Circle,Somajiguda,Central East Hyderabad
24,One Fine Day, Desserts,300,3,Necklace Road,,Secunderabad
25,Gayathri Bhavan," Chinese, Biryani",400,3.6,SR Nagar,,Central East Hyderabad
26,Taha Cafe," Continental, Chinese, Beverages",1000,5,Begumpet,,Secunderabad
27,Mekong," Asian, Thai, Japanese, Desserts",2500,4.8,Marigold Hotel,Begumpet,Secunderabad
28,WAFL Cafe," Desserts, Fast Food, Beverages",500,4.5,Khairatabad,,Central Hyderabad
29,The Terrace," Asian, Continental, Beverages, Italian, Chinese",2000,5,Panjagutta,,Central East Hyderabad
30,Ohri's Eatmor," North Indian, Chinese, Italian, Beverages",500,4.1,White House,Begumpet,Secunderabad
31,Bidri," Andhra, North Indian, Hyderabadi, Mughlai, Desserts",3500,4.5,Hyderabad Marriott Hotel and Convention Centre,Tank Bund,Central Hyderabad
32,Subway, Fast Food,500,3.4,Somajiguda,,Central East Hyderabad
33,Urvasi Bar And Restaurant," North Indian, Chinese",1000,3.9,Hotel Urvasi,Panjagutta,Central East Hyderabad
34,Country Dine," Chinese, North Indian",700,5,Ameerpet,,Central East Hyderabad
35,Little Bittle," Continental, Fast Food, Desserts, Beverages",800,3.9,Khairatabad,,Central Hyderabad
36,10D Bistro," North Indian, Chinese, Fast Food",1200,3.9,Necklace Road,,Secunderabad
37,Pyramid - Lounge And Pub, Finger Food,1700,4.6,Country Club Complex,Begumpet,Secunderabad
38,The Funnel Hill Creamery," Desserts, Continental, Beverages",800,4,Begumpet,,Secunderabad
39,Once Upon A Time," Hyderabadi, Mughlai, North Indian",1700,4.5,Hotel Green Park,Begumpet,Secunderabad
40,Tulips," Chinese, North Indian, South Indian",1500,4.3,Hotel Green Park,Begumpet,Secunderabad
41,Minerva Drive In," Street Food, Beverages",400,3.9,The Plaza Hotel,Begumpet,Secunderabad
42,Hashi Izakaya - Asian Bar & Kitchen," Chinese, Thai, Japanese",1500,4.2,Country Club Complex,Begumpet,Secunderabad
43,Inchinese, Chinese,600,3.8,Next Galleria Mall,Panjagutta,Central East Hyderabad
44,Journey 1853 - An Ode To Sahib Sindh Sultan," North Indian, Mughlai",1400,4.1,City Centre Mall,Banjara Hills,Central East Hyderabad
45,Cayenne," North Indian, Continental, South Indian",2000,3.9,Mercure Hyderabad KCP,Banjara Hills,Central East Hyderabad
46,Subway, Fast Food,500,3.5,Khairatabad,,Central Hyderabad
47,Country Oven," Fast Food, Desserts, Beverages",800,4.4,Ameerpet,,Central East Hyderabad
48,Amogham - The Lake View Restaurant," Chinese, North Indian, Continental, Mughlai",1000,3.8,Khairatabad,,Central Hyderabad
49,Chinese Pavilion, Chinese,1400,4.4,Banjara Hills,,Central East Hyderabad
50,Jewel Of Nizam," Hyderabadi, Mughlai",2500,3.9,The Golkonda Hotel,Masab Tank,Central East Hyderabad
51,NorFest - The Dhaba," North Indian, Chinese",900,4.2,Next Galleria Mall,Panjagutta,Central East Hyderabad
52,7 Sisters," Japanese, Asian, Chinese",900,4.5,Banjara Hills,,Central East Hyderabad
53,Taco Bell," Mexican, Tex Mex",500,4.3,Next Galleria Mall,Panjagutta,Central East Hyderabad
54,Saffron Soul," North Indian, Continental, Desserts",1000,4.2,Marigold Hotel,Begumpet,Secunderabad
55,Taco Bell," Mexican, Tex Mex",500,3.4,L and T Mall,Panjagutta,Central East Hyderabad
56,The Bar Project," North Indian, Continental, Italian, Chinese",1800,3.5,Begumpet,,Secunderabad
57,Gabru Di Chaap," Fast Food, North Indian",500,5,Terminal Drive In,Sindhi Colony,Secunderabad
58,Manu Bakers Delight, Fast Food,500,4.8,Begumpet,,Secunderabad
59,Country Oven," Chinese, Fast Food, Desserts",800,5,Banjara Hills,,Central East Hyderabad
60,Chili’s American Grill and Bar," American, Mexican, Tex Mex",1800,4.3,Banjara Hills,,Central East Hyderabad
61,Pizza Hut," Pizza, Fast Food",800,3.3,Hyderabad Central Mall,Panjagutta,Central East Hyderabad
62,Pizzetto," Italian, Pizza",600,3,Next Galleria Mall,Panjagutta,Central East Hyderabad
63,Atrium Bar," Finger Food, Continental, North Indian",2500,4.5,Taj Deccan Hotel,Banjara Hills,Central East Hyderabad
64,BadeMiyan Kebabs, North Indian,600,4,Next Galleria Mall,Panjagutta,Central East Hyderabad
65,Thai Pavilion," Thai, Burmese",3000,4.5,Vivanta By Taj Hotel,Begumpet,Secunderabad
66,Golden Dragon," Chinese, Asian",3000,4.1,Taj Krishna Hotel,Banjara Hills,Central East Hyderabad
67,Zing - Sky Bar And Lounge," Asian, Modern Indian, Finger Food",2800,5,Hyatt Place,Banjara Hills,Central East Hyderabad
68,Ohri's Gufaa," North Indian, Awadhi",1200,4,Basheerbagh,,Central Hyderabad
69,Spice Junxion," South Indian, Hyderabadi",3600,4.4,Taj Deccan Hotel,Banjara Hills,Central East Hyderabad
70,Hard Rock Cafe," Continental, American, Fast Food",2400,4.3,GVK One Mall,Banjara Hills,Central East Hyderabad
71,Encounters," North Indian, South Indian, Continental",3000,4.2,Taj Krishna Hotel,Banjara Hills,Central East Hyderabad
72,Fat Tiger," Fast Food, Beverages",400,3,White House,Begumpet,Secunderabad
73,WOK Republic," Asian, Chinese, Thai",600,4.2,Lumbini Amrutha Chambers,Banjara Hills,Central East Hyderabad
74,Arena," North Indian, Mughlai, Thai, Continental, Chinese",3000,4.1,Taj Deccan Hotel,Banjara Hills,Central East Hyderabad
75,Brew Bakes Cafe," Fast Food, Mexican, Italian, Asian",500,4.6,Begumpet,,Secunderabad
76,Indulge Ice Cream, Desserts,300,5,Sanai Plaza,Begumpet,Secunderabad
77,Momo Nation Cafe," Chinese, Fast Food",300,4.2,Panjagutta,,Central East Hyderabad
78,Tree House Cafe & Bistro," North Indian, Fast Food, Beverages",1100,5,Begumpet,,Secunderabad
79,Viva," North Indian, Continental, Thai",2000,4,Vivanta By Taj Hotel,Begumpet,Secunderabad
80,Cream Stone," Desserts, Beverages",400,2.7,Khairatabad,,Central Hyderabad
81,Fishland Restaurant," North Indian, Chinese, Andhra",700,3.8,Hotel Savera,Ameerpet,Central East Hyderabad
82,7 Seasons," North Indian, Chinese",1400,4.7,Banjara Hills,,Central East Hyderabad
83,Mezbaan Restaurant," North Indian, Chinese, Fast Food",900,4.1,Sanai Plaza,Begumpet,Secunderabad
84,Chicken Shawarma Hub," Lebanese, Fast Food",400,5,Ameerpet,,Central East Hyderabad
85,Hibacci -North East Asian Kitchen," Asian, Chinese, Sushi",1000,4.9,Banjara Hills,,Central East Hyderabad
86,Alfresco," North Indian, Italian, Continental, Mughlai, Beverages",3000,4.3,Taj Krishna Hotel,Banjara Hills,Central East Hyderabad
87,Firdaus," Hyderabadi, North Indian",1900,4.2,Taj Krishna Hotel,Banjara Hills,Central East Hyderabad
88,Hare Krishna Santosh Dhaba," North Indian, Chinese",700,5,Khairatabad,,Central Hyderabad
89,The Gallery Cafe," Continental, Italian, Beverages",800,4.3,Banjara Hills,,Central East Hyderabad
90,Subway, Fast Food,500,4.8,Mayfair Complex,SP Road,Secunderabad
91,Gappe Vappe," Street Food, Beverages",500,4.7,Sanai Plaza,Begumpet,Secunderabad
92,Okra," North Indian, Andhra, Chinese, Continental",3400,4.2,Hyderabad Marriott Hotel and Convention Centre,Tank Bund,Central Hyderabad
93,Lazeez Khaana," Chinese, North Indian",900,3.6,Divyashakti Complex,Ameerpet,Central East Hyderabad
94,Fullfills," Continental, Italian, Lebanese, North Indian, Beverages",1000,4.3,M.S.Towers,Banjara Hills,Central East Hyderabad
95,Exotica," North Indian, Chinese, Asian",1500,4.3,12th Square Building,Banjara Hills,Central East Hyderabad
96,Rayalaseema Ruchulu," Andhra, South Indian, North Indian",1200,4.1,Ameerpet,,Central East Hyderabad
97,Amogham Xpress," Italian, South Indian",300,3.7,Khairatabad,,Central Hyderabad
98,Altitude Lounge Bar," Finger Food, Continental, Fast Food",2900,4.3,Hyderabad Marriott Hotel and Convention Centre,Tank Bund,Central Hyderabad
99,Cream Stone," Desserts, Beverages",400,4.3,Banjara Hills,,Central East Hyderabad
100,Cafe Elaichi," Street Food, Fast Food",400,4.1,Sindhi Colony,,Secunderabad
101,Synfresco," Thai, Japanese",3000,3.7,Taj Deccan Hotel,Banjara Hills,Central East Hyderabad
102,Indulge Ice Cream, Desserts,300,5,Banjara Hills,,Central East Hyderabad
103,Barbeque Nation," North Indian, Chinese",2000,4.2,ANR Center,Banjara Hills,Central East Hyderabad
104,Sanjos Donuts," Fast Food, Desserts, Beverages",500,4,GVK One Mall,Banjara Hills,Central East Hyderabad
105,Tatva," North Indian, Chinese, Continental",1500,4.3,SP Road,,Secunderabad
106,Krishnapatnam," Andhra, South Indian, North Indian",1400,3.9,Shreshta Aura,Jubilee Hills,Central West Hyderabad
107,ABs - Absolute Barbecues," North Indian, Biryani, Continental, Desserts",1600,4.2,Banjara Hills,,Central East Hyderabad
108,Best of East, Asian,1500,4,The Manohar Hotel,Begumpet,Secunderabad
109,Chinese Wok, Chinese,800,5,Ameerpet,,Central East Hyderabad
110,Aromas of Asia," Chinese, Thai, Asian",1300,4.3,City Centre Mall,Banjara Hills,Central East Hyderabad
111,The Old School Cafe," Chinese, Fast Food, Beverages",800,5,Himayath Nagar,,Central Hyderabad
112,Almond House, Desserts,500,4.4,Sanai Plaza,Begumpet,Secunderabad
113,Onesta," Italian, Pizza, Fast Food",800,4,ANR Center,Banjara Hills,Central East Hyderabad
114,Lisbon Restobar," North Indian, Chinese, Continental",1600,2.8,Country Club Complex,Begumpet,Secunderabad
115,Barkaas Indo Arabic Restaurant SR Nagar," North Indian, Chinese",900,5,SR Nagar,,Central East Hyderabad
116,Kritunga Restaurant," Andhra, North Indian, Chinese, Hyderabadi",800,2.4,Erramanzil,,East Hyderabad
117,Cream Stone," Desserts, Beverages",400,3,Next Galleria Mall,Panjagutta,Central East Hyderabad
118,California Burrito," Mexican, Fast Food",500,3,L&T Metro Rail Mall Multiplex,Panjagutta,Central East Hyderabad
119,10D Express," North Indian, Chinese, Continental, Asian",1000,5,The Joint,Banjara Hills,Central East Hyderabad
120,Almond House, Desserts,500,4.6,Banjara Hills,,Central East Hyderabad
121,Meethe Miya, Desserts,500,5,Banjara Hills,,Central East Hyderabad
122,Cream Stone," Desserts, Beverages",400,4.5,SP Road,,Secunderabad
123,MoMo Cafe," Asian, North Indian, Continental",1600,4.2,The Courtyard by Marriott Hotel,Tank Bund,Central Hyderabad
124,Cone Pizza," Fast Food, Pizza",200,3,Next Galleria Mall,Panjagutta,Central East Hyderabad
125,Angeethi Sadda Dhaba," North Indian, Mughlai",1200,3.9,City Centre Mall,Banjara Hills,Central East Hyderabad
126,Tabla," North Indian, Chinese, Andhra",1800,4.1,Bhaskar Plaza,Banjara Hills,Central East Hyderabad
127,Amantran," Bengali, Chinese",500,4.4,Himayath Nagar,,Central Hyderabad
128,Cuiscent," Asian, North Indian, Italian, Continental",1000,4,Lakdi-Ka-Pul,,Central Hyderabad
129,Dunkin' Donuts," Desserts, Fast Food",600,4,Banjara Hills,,Central East Hyderabad
130,Makers Of Milkshakes," Beverages, Desserts",400,5,SR Nagar,,Central East Hyderabad
131,Apsara Ice Creams, Desserts,300,4,Begumpet,,Secunderabad
132,Huber & Holly, Desserts,800,4,Mayfair Building,Begumpet,Secunderabad
133,Chai bar, Tea,300,3.5,The Manohar Hotel,Begumpet,Secunderabad
134,Motifs - The Coffee Shop," North Indian, Chinese",1200,2,Hotel Urvasi,Panjagutta,Central East Hyderabad
135,Amantran, Bengali,300,2,Panjagutta,,Central East Hyderabad
136,Cold Stone Creamery, Desserts,300,4,Begumpet,,Secunderabad
137,A'La Liberty," North Indian, Chinese, Mexican",1000,4.1,Leela Gopal Towers,Banjara Hills,Central East Hyderabad
138,Hotel Shanbhag," North Indian, Chinese, South Indian",1000,3,Shanbhag Hotel Deluxe,Panjagutta,Central East Hyderabad
139,Banjara 9 Multicuisine Restaurant," North Indian, Mughlai, Arabian, Biryani, Desserts",1000,5,Khairatabad,,Central Hyderabad
140,Express By AB's," North Indian, Biryani",600,4.2,Banjara Hills,,Central East Hyderabad
141,Spice 6 - The Global Dining," North Indian, Chinese, Lebanese",1400,4.2,Banjara Hills,,Central East Hyderabad
142,Blu Cafe & Lounge, Desserts,700,5,Radisson Blu Plaza Hotel,Banjara Hills,Central East Hyderabad
143,Cream Stone," Desserts, Beverages",400,3.3,GVK One Mall,Banjara Hills,Central East Hyderabad
144,Euphoria Bakers," Desserts, Fast Food",500,4.2,Banjara Hills,,Central East Hyderabad
145,The Joint Bar & Cafe," Chinese, Continental, Fast Food, North Indian, South Indian, Street Food",700,4.1,The Joint,Banjara Hills,Central East Hyderabad
146,Bikanervala," North Indian, Street Food, Fast Food",1300,4.2,Banjara Hills,,Central East Hyderabad
147,The Milkshakes Factory," Beverages, Desserts",400,4.2,Ameerpet,,Central East Hyderabad
148,Aritaaku Bhojanam," Andhra, Biryani",500,3.4,Ameerpet,,Central East Hyderabad
149,Sync Restro Bar, North Indian,1600,4.4,Best Western Ashoka,Lakdi-Ka-Pul,Central Hyderabad
150,Holiday Inn Express," North Indian, Italian, Chinese",1400,2.5,Banjara Hills,,Central East Hyderabad
151,Hotel Fish Land," North Indian, Chinese",800,4.1,Lakdi-Ka-Pul,,Central Hyderabad
152,Rasa by Ashoka," North Indian, Awadhi, Mughlai, Hyderabadi",2400,4.3,Lakdi-Ka-Pul,,Central Hyderabad
153,Cassia," North Indian, Chinese",1200,4,Hampshire Plaza Hotel,Lakdi-Ka-Pul,Central Hyderabad
154,Wow! China, Chinese,1200,3.8,Banjara Hills,,Central East Hyderabad
155,Babai Express, South Indian,300,4.3,Lakdi-Ka-Pul,,Central Hyderabad
156,Cheesiaano Pizza," Continental, Fast Food",700,3.9,PG Road,,Secunderabad
157,Ohri's Eatmor," Fast Food, Desserts",1100,4.2,Ohri's Cuisine Court,Basheerbagh,Central Hyderabad
158,Santosh Dhaba," North Indian, Chinese",600,3.8,SR Nagar,,Central East Hyderabad
159,Xero Degrees," Continental, Fast Food, Beverages",800,4,SP Road,,Secunderabad
160,Hotel SVM Grand," North Indian, Andhra",800,3.5,Banjara Hills,,Central East Hyderabad
161,Frykiki," Fast Food, Mexican, Asian",800,4,Banjara Hills,,Central East Hyderabad
162,Ghrelin Cafe and Patisserie," Desserts, Italian, Fast Food, Beverages",600,4.3,Banjara Hills,,Central East Hyderabad
163,Blue Fox," North Indian, Chinese, Continental",1000,4.1,Minerva Grand,Banjara Hills,Central East Hyderabad
164,The Roastery Coffee House," American, Continental, Desserts",1000,4.7,Banjara Hills,,Central East Hyderabad
165,Ohri's Mings Court," Chinese, Continental",1800,4.4,Ohri's Cuisine Court,Basheerbagh,Central Hyderabad
166,Holy Basil," Asian, Chinese, Thai, Japanese",2200,4.4,Radisson Blu Plaza Hotel,Banjara Hills,Central East Hyderabad
167,Citrus Cafe," Continental, North Indian, Chinese",2300,3.7,Lemon Tree Hotel,Banjara Hills,Central East Hyderabad
168,Hotel Abode," North Indian, Chinese",700,3.8,Lakdi-Ka-Pul,,Central Hyderabad
169,ABs - Absolute Barbecues," North Indian, Continental",1600,4.3,Banjara Hills,,Central East Hyderabad
170,Curry Pot," North Indian, Chinese, South Indian",1000,4.3,PG Road,,Secunderabad
171,High Spirits Bar, Finger Food,1400,4,The Central Court Hotel,Lakdi-Ka-Pul,Central Hyderabad
172,Waffle Magic," Desserts, Fast Food, Beverages",600,3.4,SP Road,,Secunderabad
173,Arabella," Fast Food, North Indian, Arabian, Lebanese",900,4.4,Lakdi-Ka-Pul,,Central Hyderabad
174,Hydrate - The Bar, North Indian,1500,3.7,Hampshire Plaza Hotel,Lakdi-Ka-Pul,Central Hyderabad
175,Blue Fox," North Indian, Chinese, Continental",1100,4.4,Hotel Minerva Grand,SD Road,Secunderabad
176,Bar 41, Finger Food,1900,4.3,Radisson Blu Plaza Hotel,Banjara Hills,Central East Hyderabad
177,Harry's - The Pub, Finger Food,1500,3.4,Aditya Park Hotel,Ameerpet,Central East Hyderabad
178,Touch of Class," North Indian, Chinese, Continental, South Indian",2000,3.9,The Central Court Hotel,Lakdi-Ka-Pul,Central Hyderabad
179,Paya House, Hyderabadi,600,5,Banjara Hills,,Central East Hyderabad
180,Subway, Fast Food,500,2.8,GVK One Mall,Banjara Hills,Central East Hyderabad
181,Hyderabad Spice," North Indian, Biryani, Chinese",1000,5,Sri Lakshmi Complex,Masab Tank,Central East Hyderabad
182,Pizza Zone," Fast Food, Pizza, Italian",600,2.9,Begumpet,,Secunderabad
183,Barista," Fast Food, Beverages, Desserts",900,2,Khairatabad,,Central Hyderabad
184,Waterside Cafe," Continental, North Indian",1500,4.1,Taj Banjara Hotel,Banjara Hills,Central East Hyderabad
185,Level Lounge, Finger Food,1500,3.7,The Central Court Hotel,Lakdi-Ka-Pul,Central Hyderabad
186,Zanzi Bar, Finger Food,1600,4.4,The Golkonda Hotel,Masab Tank,Central East Hyderabad
187,Ocean's Basket," Continental, Chinese, North Indian, South Indian",1200,4.4,Banjara Hills,,Central East Hyderabad
188,Eagles bar and Restaurant - Level 1," North Indian, South Indian, Fast Food",1000,3.5,Shree Venkateshwara Hotel,Lakdi-Ka-Pul,Central Hyderabad
189,Rayalaseema Ruchulu," Andhra, South Indian, North Indian",1200,4,Lakdi-Ka-Pul,,Central Hyderabad
190,Kebab E Bahar," Hyderabadi, North Indian",2000,3.9,Taj Banjara Hotel,Banjara Hills,Central East Hyderabad
191,Barbeque Nation," North Indian, Chinese",2000,4.3,MG Road,,Secunderabad
192,Promenade," Andhra, Continental, Chinese, North Indian",1200,3.3,Aditya Park Hotel,Ameerpet,Central East Hyderabad
193,Bistro @ Karachi Bakery," Italian, Fast Food",500,3.6,Khanchand Towers,Banjara Hills,Central East Hyderabad
194,Mid Land Bakers & Confectioners, Fast Food,400,3,Ameerpet,,Central East Hyderabad
195,Captain Cook," North Indian, Chinese",700,3.8,SR Nagar,,Central East Hyderabad
196,Chill & Terrace," North Indian, Continental, South Indian",2400,3.9,Radisson Blu Plaza Hotel,Banjara Hills,Central East Hyderabad
197,Makers Of Milkshakes," Beverages, Desserts",400,4.6, Sri Nagar Colony,,Central East Hyderabad
198,Lobby Lounge," North Indian, Continental",3000,3.9,Taj Banjara Hotel,Banjara Hills,Central East Hyderabad
199,Southern Mirchi," Chinese, South Indian, North Indian",1000,4.2,Banjara Hills,,Central East Hyderabad
200,Mujtaba Grills," North Indian, Chinese, Mughlai",700,2.6,Begumpet,,Secunderabad
201,Masala Republic," Continental, Chinese, North Indian, Health Food",1000,4,Himayath Nagar,,Central Hyderabad
202,Lazeez Khaana," North Indian, Chinese",900,4.5,Kukatpally,,West Hyderabad
203,Agrawala Sweets," Street Food, Desserts",200,3.2,SP Road,,Secunderabad
204,24/7 Gallery Cafe," North Indian, Asian, Continental",2000,2.7,Hyatt Place,Banjara Hills,Central East Hyderabad
205,ABs - Absolute Barbecues," North Indian, Continental",1600,4.1,SD Road,,Secunderabad
206,Four Square," North Indian, Continental, South Indian",1200,3.5,Best Western Ashoka,Lakdi-Ka-Pul,Central Hyderabad
207,Dine Hill," North Indian, Chinese, Biryani",900,4,Masab Tank,,Central East Hyderabad
208,Moonlight Bar," North Indian, South Indian",1100,3.4,Best Western Ashoka,Lakdi-Ka-Pul,Central Hyderabad
209,The Neighbourhood Bar & Kitchen," North Indian, Continental, Asian",1000,3.7,Himayath Nagar,,Central Hyderabad
210,Express By AB's," North Indian, Biryani",600,4.5,SD Road,,Secunderabad
211,Biryanis And More," Biryani, Chinese, Seafood",950,4.1,Ameerpet,,Central East Hyderabad
212,Melange," Chinese, Continental, North Indian, South Indian",1700,4,The Golkonda Hotel,Masab Tank,Central East Hyderabad
213,Country Oven," Desserts, Beverages",800,4.4, Sri Nagar Colony,,Central East Hyderabad
214,Cream Stone," Desserts, Beverages",400,4.3,The Platinum Hotel,Himayath Nagar,Central Hyderabad
215,Dadu's Mithai Vatika," Fast Food, Street Food, Beverages",500,3.7,Diamond House,Himayath Nagar,Central Hyderabad
216,A Bleu Basil," Chinese, North Indian, Fast Food, Street Food",1000,4.2,Far East Plaza,Himayath Nagar,Central Hyderabad
217,Havmor, Desserts,300,4,Himayath Nagar,,Central Hyderabad
218,Tasty Bowl," North Indian, South Indian",400,4.3,Banjara Hills,,Central East Hyderabad
219,Hari Dosa," South Indian, Street Food, Fast Food",300,2.8,Ameerpet,,Central East Hyderabad
220,Clove - The Platinum Hotel," Chinese, North Indian, Continental, Italian",800,4.1,The Platinum Hotel,Himayath Nagar,Central Hyderabad
221,The Budapest Bakehouse," Desserts, Fast Food",400,4.3,Himayath Nagar,,Central Hyderabad
222,Spice 6 - The Arab Villagio," North Indian, Chinese, Lebanese, Arabian",1200,4.2,Banjara Hills,,Central East Hyderabad
223,WOFL," Desserts, Italian, Fast Food",600,4,Banjara Hills,,Central East Hyderabad
224,Harley's Fine Baking," Desserts, Beverages, Fast Food",400,5,Ameerpet,,Central East Hyderabad
225,Lazeez Khaana," North Indian, Chinese",900,4.1,Himayath Nagar,,Central Hyderabad
226,Salt & Pepper," North Indian, Chinese, Continental, Awadhi",900,2.9,The Central Court Hotel,Lakdi-Ka-Pul,Central Hyderabad
227,TOS - Tales Over Spirits," Finger Food, North Indian, Chinese",2100,3.9,Banjara Hills,,Central East Hyderabad
228,Waffle House," Fast Food, Desserts, Beverages",600,3.9,Banjara Hills,,Central East Hyderabad
229,Garage Moto Cafe," Italian, Continental",600,5,Banjara Hills,,Central East Hyderabad
230,Superly The Cosmo Cafe," Fast Food, Beverages",400,4.4,Himayath Nagar,,Central Hyderabad
231,Mirosa Cafe And Kitchen," Italian, Continental, Beverages",2000,4.8,Himayath Nagar,,Central Hyderabad
232,Reshmi's Classic Restaurant," North Indian, Chinese",800,4,SD Road,,Secunderabad
233,Asian Treat," Asian, Korean",800,4.9,Banjara Hills,,Central East Hyderabad
234,Cakes N Hugs," Desserts, Fast Food, Pizza",300,4,Yousufguda,,Central East Hyderabad
235,Cafè - The Multicuisine Restaurant," North Indian, Chinese, Fast Food",1100,3.4,Hotel Incredible One,Kalasiguda,Secunderabad
236,7 Sisters," Chinese, Asian, Sushi, Japanese",500,4.7,Banjara Hills,,Central East Hyderabad
237,Kebab Chini," North Indian, Chinese, Biryani",600,3.9,Banjara Hills,,Central East Hyderabad
238,New Ann's Chinese Kitchen, Chinese,500,3,SD Road,,Secunderabad
239,Bikanervala," North Indian, Street Food, Fast Food, Desserts, South Indian, Beverages",1300,4.2,Basheerbagh,,Central Hyderabad
240,Bleu basil," North Indian, Chinese",1200,4.3,Lumbini Jewel Mall,Banjara Hills,Central East Hyderabad
241,Ohri's Cake Nation, North Indian,1100,5,Ohri's Banjara,Banjara Hills,Central East Hyderabad
242,Frozen Bottle, Desserts,400,4.3,Himayath Nagar,,Central Hyderabad
243,Shri Santosh Family Dhaba," North Indian, Chinese",600,2.3,Banjara Hills,,Central East Hyderabad
244,Zythum Brewing Co," Continental, Chinese, Italian, Asian, Fast Food",2500,3.5,Jubilee Hills,,Central West Hyderabad
245,House of Milkshakes, Beverages,300,3,Ameerpet,,Central East Hyderabad
246,Saleem Javed Rule The Rolls, North Indian,800,5,Park Continental Hotel,Masab Tank,Central East Hyderabad
247,Icekraft, Desserts,300,3.3,Banjara Hills,,Central East Hyderabad
248,Biryani Bowl," Biryani, North Indian, Chinese",800,2.9,Lakdi-Ka-Pul,,Central Hyderabad
249,Skypark Cafe," Continental, Chinese",800,3.8,Owner's Pride,Banjara Hills,Central East Hyderabad
250,Dumont Creamery, Desserts,400,5,Himayath Nagar,,Central Hyderabad
251,China Express, Chinese,400,2,Terminal Drive In,Sindhi Colony,Secunderabad
252,Flavours Of TMH," North Indian, Chinese, Continental, South Indian",800,4.2,Taj Tristar Hotel,SD Road,Secunderabad
253,Bambai Tapri," Fast Food, Beverages",400,3.8,GRL Plaza,Begumpet,Secunderabad
254,Rayala Vari Ruchulu," North Indian, Chinese, South Indian, Seafood, Biryani",700,3.5,Ameerpet,,Central East Hyderabad
255,Ohri's Uppu," South Indian, Andhra, Beverages, Desserts",1400,3.9,Ohri's Banjara,Banjara Hills,Central East Hyderabad
256,Fishland Express," North Indian, Chinese, Andhra",800,4.5,Banjara Hills,,Central East Hyderabad
257,Flechazo," Mediterranean, Continental, Chinese, North Indian, Mangalorean",1400,3.6,Banjara Hills,,Central East Hyderabad
258,Ohri's Eatmor," Fast Food, Desserts",1100,3.9,Ohri's Banjara,Banjara Hills,Central East Hyderabad
259,Ghrelin Cafe and Patisserie," Desserts, Italian, Continental, Beverages",600,4.4,Himayath Nagar,,Central Hyderabad
260,Dakshina Mandapa," North Indian, Chinese, South Indian",1000,3.8,Taj Tristar Hotel,SD Road,Secunderabad
261,The Bhimavaram Boys, Fast Food,300,4,Himayath Nagar,,Central Hyderabad
262,Almond House, Desserts,500,4.5,Lingapur Building,Himayath Nagar,Central Hyderabad
263,Hotel Sitara Grand," North Indian, Chinese, Andhra",1200,4.3,Hotel Sitara Grand,Banjara Hills,Central East Hyderabad
264,Eagles Pizza," Pizza, Fast Food",600,3.8,Himayath Nagar,,Central Hyderabad
265,The Rocket Fuel - Rooftop Kitchen," Continental, Asian, Beverages",1000,5,Banjara Hills,,Central East Hyderabad
