,Restaurant_Name,Cuisine,Price for 2(approx),Rating,Location,Area,Region
591,FRYKIKI," Fast Food, Mexican, Asian",800,5,PNR SSV Complex,A S Rao Nagar,Secunderabad
592,Lucky's Biryani House," Chinese, North Indian",800,3.8,Amberpet,,East Hyderabad
593,Istanbul, Middle Eastern,300,4.3,Sami Complex,Jubilee Hills,Central West Hyderabad
594,Naidu Gari Kunda Biryani," North Indian, Andhra, Biryani, Chinese",700,2.3,Karkhana,,Secunderabad
595,Guilt Trip," Continental, Italian, Fast Food, Desserts",800,3.9,Film Nagar,,Central West Hyderabad
596,Rayalaseema Ruchulu," Andhra, South Indian, North Indian",1200,3.8,36 Square,Jubilee Hills,Central West Hyderabad
597,Madhura - Flavours of Love," Chinese, Biryani, North Indian, South Indian",600,4.3,Film Nagar,,Central West Hyderabad
598,The ThickShake Factory, Beverages,400,3.5,Amberpet,,East Hyderabad
599,Euphoria Bakers, Desserts,500,,Paradise Circle,,Secunderabad
600,Tashi Cafe," Chinese, Continental, Italian, Thai, Mexican, Beverages",1400,3.9,Jubilee Hills,,Central West Hyderabad
601,Celebrations 365, Desserts,500,3.8,Bowenpally,,Secunderabad
602,Enchante Cafe And Confectionery," Fast Food, Continental, Italian, Pizza, Desserts, Beverages",700,4.3,Jubilee Hills,,Central West Hyderabad
603,La Cupula," North Indian, Chinese, Continental, Italian, Beverages",1200,3.3,Aditya Enclave,Jubilee Hills,Central West Hyderabad
604,Tarz Kitchen and Coffee Bar," Health Food, Italian, Mediterranean, North Indian",800,4.2,Jubilee Hills,,Central West Hyderabad
605,The Amlyn Cafe," Continental, Beverages",1200,5,Jubilee Hills,,Central West Hyderabad
606,Clouds Restaurant," North Indian, Andhra, Chinese",700,,Banjara Hills,,Central East Hyderabad
607,Cafe Affinite," Continental, Chinese, Beverages",900,,Ameerpet,,Central East Hyderabad
608,Gaurang's Kitchen," North Indian, South Indian, Fast Food",1400,3,Jubilee Hills,,Central West Hyderabad
609,Kortyard Cafe," Continental, Asian, Mediterranean, Beverages",1200,5,Jubilee Hills,,Central West Hyderabad
610,AVO Cafe & Patisserie," Italian, Continental, Asian, Thai, Mediterranean, Beverages",1000,4,Jubilee Hills,,Central West Hyderabad
611,Carpe Diem," Continental, Finger Food, North Indian, Pizza",2700,3.6,Jubilee Hills,,Central West Hyderabad
612,Dadu's Mithai Vatika," Fast Food, Street Food, Beverages",500,4.1,36 Square,Jubilee Hills,Central West Hyderabad
613,Chickpet Donne Biryani House," South Indian, Biryani",400,,Ameerpet,,Central East Hyderabad
614,Barbeque Nation," North Indian, Chinese",2000,4.3,Alcazar Mall,Jubilee Hills,Central West Hyderabad
615,Log Sabha," North Indian, Italian, Continental, Asian",1200,4.4,Film Nagar,,Central West Hyderabad
